,name,Pos,Club,Group,National Team,Birth town,Foreign-born,birth_country,
1171,Dominik Livakoviï¿,GK,Dinamo Zagreb,L,Croatia,"Zadar, Croatia",,Croatia,
1180,Luka Modriï¿,MF,Milan (ITA),L,Croatia,"Zadar, Croatia",,Croatia,
1187,Martin Erliï¿,DF,Midtjylland (DEN),L,Croatia,"Zadar, Croatia",,Croatia,
687,Mohamed Abdelmonem,DF,Nice (FRA),G,Egypt,"Zagazig, Sharqia, Egypt",,Egypt,
1168,Andrej Kramariï¿,FW,TSG Hoffenheim (GER),L,Croatia,"Zagreb, Croatia",,Croatia,
1178,Joï¿½ï¿½ko Gvar,DF,Manchester City (ENG),L,Croatia,"Zagreb, Croatia",,Croatia,
1191,Petar Musa,FW,FC Dallas (USA),L,Croatia,"Zagreb, Croatia",,Croatia,
674,Shahriyar Moghanlou,FW,Kalba (UAE),G,Iran,"Zanjan, Iran",,Iran,
23,Raï¿½ï¿½l Ra,GK,Guadalajara,A,Mexico,"Zapotlï¿½ï¿½n el Grande, Jalisco, Me",,Mexico,
1122,Azizbek Amonov,FW,Dinamo Samarqand,K,Uzbekistan,"Zarafshan, Uzbekistan",,Uzbekistan,
1019,Ibrahim Sadeh,MF,Al-Karma (IRQ),J,Jordan,"Zarqa, Jordan",,Jordan,
1037,Yazeed Abulaila,GK,Al-Hussein,J,Jordan,"Zarqa, Jordan",,Jordan,
104,Amar Dediï¿,DF,Benfica (POR),B,Bosnia and Herzegovina,"Zell am See, Austria",Yes,Austria,
117,Ivan ï¿½ï¿½un,MF, Pafos (CYP),B,Bosnia and Herzegovina,"Zenica, Bosnia and Herzegovina",,Bosnia and Herzegovina,
1169,Ante Budimir,FW,Osasuna (ESP),L,Croatia,"Zenica, Bosnia and Herzegovina",Yes,Bosnia and Herzegovina,
342,ýýaýýlar Sýýyýýncýý,DF,Fenerbahï¿½,D,Turkey,"ýýzmir, Turkey",,Turkey,
352,Kerem Aktï¿½ï¿½rko,FW,Fenerbahï¿½,D,Turkey,"ýýzmit, Turkey",,Turkey,
349,ýýsmail Yýýksek,MF,Fenerbahï¿½,D,Turkey,"ýýznik, Turkey",,Turkey,
644,Senne Lammens,GK,Manchester United (ENG),G,Belgium,"Zottegem, Belgium",,Belgium,
186,Christian Fassnacht,MF,Young Boys,B,Switzerland,"Zï¿½ï¿½rich, Switzer",,Switzerland,
189,Djibril Sow,MF,Sevilla (ESP),B,Switzerland,"Zï¿½ï¿½rich, Switzer",,Switzerland,
200,Nico Elvedi,DF,Borussia Mï¿½ï¿½nchengladbach (,B,Switzerland,"Zï¿½ï¿½rich, Switzer",,Switzerland,
203,Ricardo Rodriguez,DF,Real Betis (ESP),B,Switzerland,"Zï¿½ï¿½rich, Switzer",,Switzerland,
1186,Martin Baturina,MF,Como (ITA),L,Croatia,"Zurich, Switzerland",Yes,Switzerland,
533,Marten de Roon,MF,Atalanta (ITA),F,Netherlands,"Zwijndrecht, Netherlands",,Netherlands,
520,Bart Verbruggen,GK,Brighton & Hove Albion (ENG),F,Netherlands,"Zwolle, Netherlands",,Netherlands,
543,Tijjani Reijnders,MF,Manchester City (ENG),F,Netherlands,"Zwolle, Netherlands",,Netherlands,
